pat	stressed	67	antis	c19	c18	cGA	cAGA	p19	p18	pGA	pAGA	cALL	pALL
2 3 4 6 8 10	6	0	2	45	10	19	180	0.13	0.22	0.18	0.25	74	0.15
3 4 5 7 10	5	0	2	3	2	1	1	0.01	0.04	0.01	0.0	6	0.01
3 5 6 7 8 9	6	1	4	0	0	0	1	0	0	0	0.0	0	0.0
4 8 9 10	4	0	2	100	11	21	75	0.29	0.25	0.2	0.11	132	0.27
1 2 4 7 10	5	0	1	13	2	4	20	0.04	0.04	0.04	0.03	19	0.04
2 6 7 10	4	1	1	419	50	126	876	1.21	1.12	1.19	1.23	595	1.2
2 4 5 6 10	5	0	2	67	7	34	186	0.19	0.16	0.32	0.26	108	0.22
1 2 4 5 6 7 9 10	8	1	5	0	0	0	2	0	0	0	0.0	0	0.0
2 3 5 9	4	0	1	6	0	0	0	0.02	0	0	0	6	0.01
2 3 5 8	4	0	1	5	0	0	0	0.01	0	0	0	5	0.01
6 9	2	0	0	3	0	0	0	0.01	0	0	0	3	0.01
6 8	2	0	0	6	0	0	0	0.02	0	0	0	6	0.01
1 3 4 8	4	0	1	1	0	0	0	0.0	0	0	0	1	0.0
1 7 9	3	0	0	1	0	1	0	0.0	0	0.01	0	2	0.0
1 7 8	3	0	1	1	0	0	0	0.0	0	0	0	1	0.0
1 3 5 6 7 9	6	1	2	0	1	0	0	0	0.02	0	0	1	0.0
4 5 8	3	0	1	2	0	0	0	0.01	0	0	0	2	0.0
